update_date,open,high,low,close,volume,position_all
2010-10-21,19550.00 ,19700.00 ,19370.00 ,19680.00 ,601906.00 ,167316.00 
2010-10-22,19940.00 ,20680.00 ,19770.00 ,20505.00 ,1495982.00 ,364516.00 
2010-10-25,20790.00 ,21280.00 ,20715.00 ,21170.00 ,1323066.00 ,390646.00 
2010-10-26,21160.00 ,21785.00 ,20850.00 ,21175.00 ,2083244.00 ,386098.00 
2010-10-27,21620.00 ,21700.00 ,20500.00 ,20560.00 ,2325264.00 ,345406.00 
2010-10-28,20615.00 ,20730.00 ,20225.00 ,20530.00 ,1678396.00 ,353026.00 
2010-10-29,20250.00 ,20250.00 ,19550.00 ,19560.00 ,1406622.00 ,328274.00 
2010-11-01,19700.00 ,20350.00 ,19700.00 ,20140.00 ,1357534.00 ,334182.00 
2010-11-02,20050.00 ,20225.00 ,19735.00 ,19910.00 ,1482096.00 ,329918.00 
2010-11-03,20100.00 ,20310.00 ,19790.00 ,19900.00 ,1445590.00 ,340870.00 
2010-11-04,20120.00 ,20330.00 ,19890.00 ,20305.00 ,1316482.00 ,351690.00 
2010-11-05,20850.00 ,21125.00 ,20805.00 ,21125.00 ,832752.00 ,322840.00 
2010-11-08,20945.00 ,21160.00 ,20355.00 ,20560.00 ,1357054.00 ,342218.00 
2010-11-09,20320.00 ,21220.00 ,20230.00 ,20850.00 ,1470260.00 ,333712.00 
2010-11-10,20955.00 ,21245.00 ,20500.00 ,20650.00 ,1464866.00 ,315472.00 
2010-11-11,20695.00 ,21340.00 ,20505.00 ,21035.00 ,1544024.00 ,245938.00 
2010-11-12,20750.00 ,20750.00 ,19935.00 ,19935.00 ,290010.00 ,246170.00 
2010-11-15,18665.00 ,19410.00 ,18650.00 ,18705.00 ,609288.00 ,209766.00 
2010-11-16,18885.00 ,19050.00 ,18170.00 ,18255.00 ,950928.00 ,189326.00 
2010-11-17,17815.00 ,17815.00 ,17815.00 ,17815.00 ,11924.00 ,186296.00 
2010-11-18,17815.00 ,18215.00 ,17420.00 ,18070.00 ,1356918.00 ,206848.00 
2010-11-19,18315.00 ,18410.00 ,17625.00 ,18335.00 ,1499294.00 ,215900.00 
2010-11-22,18000.00 ,18295.00 ,17850.00 ,17970.00 ,1456728.00 ,240894.00 
2010-11-23,17785.00 ,17890.00 ,17200.00 ,17200.00 ,1223612.00 ,261318.00 
2010-11-24,17350.00 ,17650.00 ,17125.00 ,17620.00 ,1424282.00 ,259468.00 
2010-11-25,17750.00 ,17795.00 ,17355.00 ,17370.00 ,1213394.00 ,272716.00 
2010-11-26,17600.00 ,17755.00 ,17030.00 ,17430.00 ,2054902.00 ,271146.00 
2010-11-29,17290.00 ,17745.00 ,17220.00 ,17685.00 ,1238802.00 ,279200.00 
2010-11-30,17400.00 ,17580.00 ,17090.00 ,17515.00 ,1263714.00 ,274678.00 
2010-12-01,17485.00 ,17760.00 ,17415.00 ,17665.00 ,865968.00 ,276998.00 
2010-12-02,18020.00 ,18510.00 ,17950.00 ,18360.00 ,1082340.00 ,297442.00 
2010-12-03,18450.00 ,18480.00 ,18155.00 ,18400.00 ,1029728.00 ,281334.00 
2010-12-06,18435.00 ,18620.00 ,18335.00 ,18465.00 ,812348.00 ,284146.00 
2010-12-07,18430.00 ,18580.00 ,18260.00 ,18545.00 ,752428.00 ,304368.00 
2010-12-08,18400.00 ,18465.00 ,18085.00 ,18105.00 ,658722.00 ,281680.00 
2010-12-09,18555.00 ,18575.00 ,18360.00 ,18430.00 ,645868.00 ,249280.00 
2010-12-10,18380.00 ,18580.00 ,18260.00 ,18545.00 ,557748.00 ,248882.00 
2010-12-13,18520.00 ,19200.00 ,18460.00 ,19040.00 ,710444.00 ,266430.00 
2010-12-14,19105.00 ,19335.00 ,18915.00 ,19065.00 ,877676.00 ,285916.00 
2010-12-15,18965.00 ,19110.00 ,18470.00 ,18470.00 ,841420.00 ,288472.00 
2010-12-16,18390.00 ,18630.00 ,18250.00 ,18515.00 ,789750.00 ,281856.00 
2010-12-17,18505.00 ,18805.00 ,18505.00 ,18780.00 ,623528.00 ,284654.00 
2010-12-20,18985.00 ,19140.00 ,18400.00 ,18690.00 ,744788.00 ,276650.00 
2010-12-21,18810.00 ,19010.00 ,18650.00 ,18960.00 ,695540.00 ,265306.00 
2010-12-22,19100.00 ,19150.00 ,18700.00 ,18760.00 ,502830.00 ,263774.00 
2010-12-23,18880.00 ,18995.00 ,18755.00 ,18905.00 ,393014.00 ,249916.00 
2010-12-24,18900.00 ,18940.00 ,18555.00 ,18860.00 ,507478.00 ,255062.00 
2010-12-27,18700.00 ,18800.00 ,18580.00 ,18695.00 ,360482.00 ,248122.00 
2010-12-28,18750.00 ,19145.00 ,18740.00 ,19060.00 ,586480.00 ,223246.00 
2010-12-29,19125.00 ,19390.00 ,18970.00 ,19365.00 ,530402.00 ,218112.00 
2010-12-30,19385.00 ,19670.00 ,19250.00 ,19620.00 ,404596.00 ,169962.00 
2010-12-31,19650.00 ,19800.00 ,19560.00 ,19695.00 ,434564.00 ,208326.00 
2011-01-04,19895.00 ,19935.00 ,19625.00 ,19750.00 ,471164.00 ,235210.00 
2011-01-05,19610.00 ,19695.00 ,19450.00 ,19475.00 ,465108.00 ,238806.00 
2011-01-06,19705.00 ,20000.00 ,19675.00 ,19840.00 ,575084.00 ,256708.00 
2011-01-07,19635.00 ,19895.00 ,18800.00 ,19130.00 ,752824.00 ,253036.00 
2011-01-10,19320.00 ,19350.00 ,19030.00 ,19115.00 ,470390.00 ,247364.00 
2011-01-11,19150.00 ,19325.00 ,18955.00 ,19215.00 ,580788.00 ,255648.00 
2011-01-12,19300.00 ,19440.00 ,19200.00 ,19285.00 ,367170.00 ,246100.00 
2011-01-13,19580.00 ,19610.00 ,19385.00 ,19420.00 ,318096.00 ,235492.00 
2011-01-14,19350.00 ,19430.00 ,19225.00 ,19350.00 ,300800.00 ,234250.00 
2011-01-17,19400.00 ,19540.00 ,19270.00 ,19300.00 ,387688.00 ,243698.00 
2011-01-18,19270.00 ,19330.00 ,18910.00 ,19210.00 ,483276.00 ,247884.00 
2011-01-19,19185.00 ,19485.00 ,19170.00 ,19485.00 ,347670.00 ,241828.00 
2011-01-20,19070.00 ,19255.00 ,18975.00 ,19040.00 ,408066.00 ,256310.00 
2011-01-21,18780.00 ,19010.00 ,18665.00 ,18810.00 ,364152.00 ,261238.00 
2011-01-24,18875.00 ,19080.00 ,18810.00 ,18835.00 ,324016.00 ,265756.00 
2011-01-25,18700.00 ,18795.00 ,18060.00 ,18125.00 ,497992.00 ,267748.00 
2011-01-26,17895.00 ,18205.00 ,17885.00 ,18160.00 ,331930.00 ,252952.00 
2011-01-27,18260.00 ,18300.00 ,18080.00 ,18255.00 ,330798.00 ,244152.00 
2011-01-28,18195.00 ,18510.00 ,18130.00 ,18360.00 ,296670.00 ,226098.00 
2011-01-31,18550.00 ,18765.00 ,18510.00 ,18700.00 ,200346.00 ,215226.00 
2011-02-01,19120.00 ,19490.00 ,19025.00 ,19460.00 ,248938.00 ,179812.00 
2011-02-09,19640.00 ,19640.00 ,19235.00 ,19250.00 ,148062.00 ,155304.00 
2011-02-10,19200.00 ,19455.00 ,19155.00 ,19395.00 ,95430.00 ,131672.00 
2011-02-11,19600.00 ,19745.00 ,19300.00 ,19305.00 ,413358.00 ,194760.00 
2011-02-14,19510.00 ,19690.00 ,19380.00 ,19675.00 ,420760.00 ,220794.00 
2011-02-15,19750.00 ,19855.00 ,19570.00 ,19620.00 ,434114.00 ,223310.00 
2011-02-16,19385.00 ,20000.00 ,19360.00 ,19955.00 ,609312.00 ,297908.00 
2011-02-17,20020.00 ,20220.00 ,19730.00 ,19760.00 ,882926.00 ,292944.00 
2011-02-18,20025.00 ,20250.00 ,19890.00 ,19945.00 ,924526.00 ,315436.00 
2011-02-21,20100.00 ,20530.00 ,20010.00 ,20420.00 ,985380.00 ,396344.00 
2011-02-22,20420.00 ,20560.00 ,19150.00 ,19740.00 ,970682.00 ,337532.00 
2011-02-23,19200.00 ,19620.00 ,19200.00 ,19330.00 ,709812.00 ,322744.00 
2011-02-24,19500.00 ,19590.00 ,18945.00 ,19140.00 ,643648.00 ,315594.00 
2011-02-25,19270.00 ,19350.00 ,19055.00 ,19250.00 ,500738.00 ,302172.00 
2011-02-28,19330.00 ,19485.00 ,19200.00 ,19450.00 ,478418.00 ,282458.00 
2011-03-01,19485.00 ,19515.00 ,19245.00 ,19315.00 ,345786.00 ,268824.00 
2011-03-02,19210.00 ,19290.00 ,19020.00 ,19235.00 ,385810.00 ,258760.00 
2011-03-03,19185.00 ,19445.00 ,19100.00 ,19120.00 ,372070.00 ,258898.00 
2011-03-04,19220.00 ,19330.00 ,19070.00 ,19270.00 ,374742.00 ,240916.00 
2011-03-07,19150.00 ,19195.00 ,18775.00 ,18860.00 ,407606.00 ,265510.00 
2011-03-08,18510.00 ,18590.00 ,17820.00 ,18080.00 ,520358.00 ,260408.00 
2011-03-09,18110.00 ,18375.00 ,18110.00 ,18315.00 ,305660.00 ,235158.00 
2011-03-10,17775.00 ,17820.00 ,17605.00 ,17735.00 ,321920.00 ,228708.00 
2011-03-11,17780.00 ,17985.00 ,17730.00 ,17745.00 ,277576.00 ,217002.00 
2011-03-14,17780.00 ,18145.00 ,17675.00 ,18045.00 ,460690.00 ,203350.00 
2011-03-15,18050.00 ,18205.00 ,17950.00 ,18035.00 ,255518.00 ,195836.00 
2011-03-16,18120.00 ,18180.00 ,17850.00 ,18175.00 ,158318.00 ,171008.00 
2011-03-17,18200.00 ,18230.00 ,17750.00 ,17790.00 ,788838.00 ,256016.00 
2011-03-18,18200.00 ,18350.00 ,18155.00 ,18310.00 ,572888.00 ,204026.00 
2011-03-21,18230.00 ,18285.00 ,17950.00 ,18005.00 ,559530.00 ,231016.00 
2011-03-22,17820.00 ,18220.00 ,17810.00 ,18180.00 ,532058.00 ,238092.00 
2011-03-23,18205.00 ,18735.00 ,18200.00 ,18600.00 ,536932.00 ,223862.00 
2011-03-24,18710.00 ,18805.00 ,18515.00 ,18580.00 ,388622.00 ,212670.00 
2011-03-25,18635.00 ,18705.00 ,18480.00 ,18605.00 ,327934.00 ,210270.00 
2011-03-28,18550.00 ,18680.00 ,18260.00 ,18315.00 ,452100.00 ,210842.00 
2011-03-29,18150.00 ,18415.00 ,18145.00 ,18280.00 ,310080.00 ,213372.00 
2011-03-30,18400.00 ,18430.00 ,18255.00 ,18375.00 ,275412.00 ,211010.00 
2011-03-31,18280.00 ,18300.00 ,18080.00 ,18240.00 ,272280.00 ,209452.00 
2011-04-01,18300.00 ,18315.00 ,18120.00 ,18170.00 ,199398.00 ,207122.00 
2011-04-06,18300.00 ,18600.00 ,18250.00 ,18580.00 ,297118.00 ,200688.00 
2011-04-07,18600.00 ,18615.00 ,18510.00 ,18545.00 ,159776.00 ,195224.00 
2011-04-08,18600.00 ,18840.00 ,18500.00 ,18795.00 ,288478.00 ,203390.00 
2011-04-11,18960.00 ,19035.00 ,18760.00 ,18805.00 ,261146.00 ,198330.00 
2011-04-12,18700.00 ,18780.00 ,18570.00 ,18590.00 ,227944.00 ,189024.00 
2011-04-13,18380.00 ,18590.00 ,18330.00 ,18565.00 ,209606.00 ,183376.00 
2011-04-14,18450.00 ,18590.00 ,18330.00 ,18345.00 ,254154.00 ,188786.00 
2011-04-15,18420.00 ,18485.00 ,18250.00 ,18270.00 ,218094.00 ,188310.00 
2011-04-18,18230.00 ,18330.00 ,18150.00 ,18265.00 ,138660.00 ,184172.00 
2011-04-19,18125.00 ,18190.00 ,17520.00 ,17560.00 ,359226.00 ,217874.00 
2011-04-20,17700.00 ,17875.00 ,17650.00 ,17825.00 ,222522.00 ,198318.00 
2011-04-21,17720.00 ,17935.00 ,17685.00 ,17780.00 ,172602.00 ,197102.00 
2011-04-22,17885.00 ,17900.00 ,17345.00 ,17580.00 ,262264.00 ,191790.00 
2011-04-25,17580.00 ,17610.00 ,17225.00 ,17245.00 ,132474.00 ,173346.00 
2011-04-26,17180.00 ,17450.00 ,16980.00 ,17340.00 ,489720.00 ,210872.00 
2011-04-27,17440.00 ,17460.00 ,17185.00 ,17245.00 ,412716.00 ,221334.00 
2011-04-28,17380.00 ,17640.00 ,17315.00 ,17480.00 ,418092.00 ,214422.00 
2011-04-29,17400.00 ,17445.00 ,17200.00 ,17320.00 ,296620.00 ,211096.00 
2011-05-03,17350.00 ,17425.00 ,17100.00 ,17250.00 ,330296.00 ,223144.00 
2011-05-04,17280.00 ,17330.00 ,17140.00 ,17215.00 ,398208.00 ,236308.00 
2011-05-05,16990.00 ,17000.00 ,16700.00 ,16720.00 ,486714.00 ,263650.00 
2011-05-06,16340.00 ,16555.00 ,16200.00 ,16330.00 ,407142.00 ,260672.00 
2011-05-09,16515.00 ,16745.00 ,16515.00 ,16720.00 ,292210.00 ,249766.00 
2011-05-10,16680.00 ,16900.00 ,16560.00 ,16835.00 ,363524.00 ,242782.00 
2011-05-11,16835.00 ,16920.00 ,16735.00 ,16750.00 ,300694.00 ,234798.00 
2011-05-12,16620.00 ,16635.00 ,16260.00 ,16270.00 ,369226.00 ,240186.00 
2011-05-13,16500.00 ,16870.00 ,16450.00 ,16860.00 ,351526.00 ,215442.00 
2011-05-16,16750.00 ,16795.00 ,16645.00 ,16695.00 ,232326.00 ,216244.00 
2011-05-17,16660.00 ,16790.00 ,16450.00 ,16750.00 ,351248.00 ,214290.00 
2011-05-18,16760.00 ,16900.00 ,16685.00 ,16780.00 ,301020.00 ,219904.00 
2011-05-19,17025.00 ,17070.00 ,16825.00 ,16860.00 ,234892.00 ,207064.00 
2011-05-20,16775.00 ,16850.00 ,16705.00 ,16770.00 ,189072.00 ,202858.00 
2011-05-23,16810.00 ,16825.00 ,16450.00 ,16460.00 ,288878.00 ,206640.00 
2011-05-24,16585.00 ,16655.00 ,16465.00 ,16605.00 ,149492.00 ,187542.00 
2011-05-25,16795.00 ,16995.00 ,16700.00 ,16905.00 ,192838.00 ,147018.00 
2011-05-26,17230.00 ,17345.00 ,17130.00 ,17325.00 ,310782.00 ,200748.00 
2011-05-27,17300.00 ,17450.00 ,17215.00 ,17450.00 ,347044.00 ,221376.00 
2011-05-30,17400.00 ,17425.00 ,17215.00 ,17270.00 ,340126.00 ,226798.00 
2011-05-31,17320.00 ,17360.00 ,17155.00 ,17340.00 ,310268.00 ,219282.00 
2011-06-01,17340.00 ,17380.00 ,17200.00 ,17240.00 ,244270.00 ,230854.00 
2011-06-02,17120.00 ,17240.00 ,17080.00 ,17220.00 ,243444.00 ,219164.00 
2011-06-03,17200.00 ,17515.00 ,17200.00 ,17475.00 ,298250.00 ,229144.00 
2011-06-07,17360.00 ,17620.00 ,17305.00 ,17475.00 ,351014.00 ,224996.00 
2011-06-08,17420.00 ,17480.00 ,17280.00 ,17355.00 ,301908.00 ,225128.00 
2011-06-09,17430.00 ,17530.00 ,17340.00 ,17360.00 ,248392.00 ,222926.00 
2011-06-10,17440.00 ,17645.00 ,17405.00 ,17540.00 ,401632.00 ,235478.00 
2011-06-13,17400.00 ,17510.00 ,17360.00 ,17390.00 ,289988.00 ,214338.00 
2011-06-14,17370.00 ,17475.00 ,17280.00 ,17420.00 ,268446.00 ,213462.00 
2011-06-15,17560.00 ,17575.00 ,17465.00 ,17485.00 ,184896.00 ,196242.00 
2011-06-16,17380.00 ,17410.00 ,17140.00 ,17190.00 ,254204.00 ,207030.00 
2011-06-17,17225.00 ,17270.00 ,17070.00 ,17125.00 ,229384.00 ,202016.00 
2011-06-20,17115.00 ,17165.00 ,16920.00 ,16935.00 ,230724.00 ,201836.00 
2011-06-21,17000.00 ,17215.00 ,16955.00 ,17180.00 ,222816.00 ,175108.00 
2011-06-22,17180.00 ,17255.00 ,17130.00 ,17155.00 ,180824.00 ,166258.00 
2011-06-23,17200.00 ,17290.00 ,17035.00 ,17240.00 ,185138.00 ,140612.00 
2011-06-24,17320.00 ,17485.00 ,17295.00 ,17455.00 ,265886.00 ,195894.00 
2011-06-27,17290.00 ,17345.00 ,17150.00 ,17190.00 ,295892.00 ,187832.00 
2011-06-28,17300.00 ,17480.00 ,17295.00 ,17360.00 ,285500.00 ,194578.00 
2011-06-29,17485.00 ,17510.00 ,17350.00 ,17475.00 ,213794.00 ,194902.00 
2011-06-30,17600.00 ,17800.00 ,17545.00 ,17760.00 ,291888.00 ,210082.00 
2011-07-01,17780.00 ,17885.00 ,17705.00 ,17810.00 ,244920.00 ,208182.00 
2011-07-04,17850.00 ,18200.00 ,17850.00 ,18100.00 ,298406.00 ,218164.00 
2011-07-05,18045.00 ,18180.00 ,17945.00 ,18080.00 ,260504.00 ,212342.00 
2011-07-06,18150.00 ,18245.00 ,18100.00 ,18175.00 ,200298.00 ,205416.00 
2011-07-07,18090.00 ,18225.00 ,18050.00 ,18140.00 ,192846.00 ,203168.00 
2011-07-08,18305.00 ,18320.00 ,18140.00 ,18175.00 ,203092.00 ,194954.00 
2011-07-11,18000.00 ,18180.00 ,17960.00 ,17960.00 ,189322.00 ,183778.00 
2011-07-12,17885.00 ,17915.00 ,17800.00 ,17895.00 ,181134.00 ,168162.00 
2011-07-13,18025.00 ,18325.00 ,18025.00 ,18325.00 ,178838.00 ,166372.00 
2011-07-14,18285.00 ,18400.00 ,18210.00 ,18305.00 ,174880.00 ,163002.00 
2011-07-15,18185.00 ,18270.00 ,18140.00 ,18150.00 ,120656.00 ,156478.00 
2011-07-18,18235.00 ,18385.00 ,18190.00 ,18255.00 ,114126.00 ,138108.00 
2011-07-19,18575.00 ,18770.00 ,18525.00 ,18770.00 ,233014.00 ,206166.00 
2011-07-20,18890.00 ,18910.00 ,18675.00 ,18695.00 ,191616.00 ,191686.00 
2011-07-21,18700.00 ,18750.00 ,18485.00 ,18560.00 ,204006.00 ,196986.00 
2011-07-22,18580.00 ,18795.00 ,18555.00 ,18790.00 ,208182.00 ,214236.00 
2011-07-25,18830.00 ,18835.00 ,18515.00 ,18530.00 ,231552.00 ,215486.00 
2011-07-26,18470.00 ,18950.00 ,18470.00 ,18900.00 ,299262.00 ,243832.00 
2011-07-27,18950.00 ,19135.00 ,18870.00 ,19085.00 ,313868.00 ,269494.00 
2011-07-28,18995.00 ,19160.00 ,18850.00 ,18910.00 ,414054.00 ,253844.00 
2011-07-29,18925.00 ,19065.00 ,18650.00 ,18735.00 ,361382.00 ,240678.00 
2011-08-01,18860.00 ,18945.00 ,18750.00 ,18915.00 ,208846.00 ,243688.00 
2011-08-02,18690.00 ,18710.00 ,18415.00 ,18455.00 ,281664.00 ,243742.00 
2011-08-03,18440.00 ,18535.00 ,18315.00 ,18395.00 ,287348.00 ,241020.00 
2011-08-04,18280.00 ,18380.00 ,18150.00 ,18250.00 ,300368.00 ,235400.00 
2011-08-05,17885.00 ,17895.00 ,17165.00 ,17165.00 ,423858.00 ,201730.00 
2011-08-08,16655.00 ,16950.00 ,16320.00 ,16755.00 ,627180.00 ,208086.00 
2011-08-09,15690.00 ,16490.00 ,15690.00 ,16400.00 ,691112.00 ,196528.00 
2011-08-10,16650.00 ,16780.00 ,16560.00 ,16710.00 ,398622.00 ,191648.00 
2011-08-11,16500.00 ,16845.00 ,16480.00 ,16780.00 ,405492.00 ,182412.00 
2011-08-12,16890.00 ,17050.00 ,16815.00 ,16845.00 ,321040.00 ,170318.00 
2011-08-15,17000.00 ,17200.00 ,16960.00 ,17055.00 ,167582.00 ,156542.00 
2011-08-16,17120.00 ,17175.00 ,16545.00 ,16600.00 ,461136.00 ,241456.00 
2011-08-17,16660.00 ,17060.00 ,16655.00 ,16975.00 ,420088.00 ,213414.00 
2011-08-18,16980.00 ,17280.00 ,16755.00 ,17030.00 ,837200.00 ,231796.00 
2011-08-19,16850.00 ,16935.00 ,16740.00 ,16885.00 ,603360.00 ,240938.00 
2011-08-22,16920.00 ,17125.00 ,16750.00 ,16765.00 ,477726.00 ,256602.00 
2011-08-23,16875.00 ,16960.00 ,16705.00 ,16915.00 ,461226.00 ,259720.00 
2011-08-24,17010.00 ,17035.00 ,16855.00 ,16910.00 ,311866.00 ,260644.00 
2011-08-25,16890.00 ,17200.00 ,16880.00 ,17085.00 ,565640.00 ,290738.00 
2011-08-26,17155.00 ,17160.00 ,16950.00 ,17090.00 ,414012.00 ,280594.00 
2011-08-29,17100.00 ,17190.00 ,17065.00 ,17125.00 ,310960.00 ,282704.00 
2011-08-30,17155.00 ,17420.00 ,17130.00 ,17315.00 ,400036.00 ,265772.00 
2011-08-31,17320.00 ,17380.00 ,17270.00 ,17360.00 ,248168.00 ,261666.00 
2011-09-01,17355.00 ,17375.00 ,17160.00 ,17205.00 ,334024.00 ,261318.00 
2011-09-02,17180.00 ,17215.00 ,16985.00 ,17065.00 ,345056.00 ,274980.00 
2011-09-05,17015.00 ,17165.00 ,16920.00 ,16945.00 ,382320.00 ,264074.00 
2011-09-06,16940.00 ,16995.00 ,16670.00 ,16855.00 ,457888.00 ,264250.00 
2011-09-07,16975.00 ,17160.00 ,16900.00 ,17145.00 ,311460.00 ,251350.00 
2011-09-08,17200.00 ,17215.00 ,17055.00 ,17070.00 ,217558.00 ,243396.00 
2011-09-09,17080.00 ,17200.00 ,17035.00 ,17125.00 ,241242.00 ,233574.00 
2011-09-13,17030.00 ,17055.00 ,16820.00 ,16945.00 ,318610.00 ,231778.00 
2011-09-14,16980.00 ,17055.00 ,16635.00 ,16710.00 ,341138.00 ,231454.00 
2011-09-15,16820.00 ,16865.00 ,16685.00 ,16750.00 ,254758.00 ,213382.00 
2011-09-16,16825.00 ,16900.00 ,16730.00 ,16845.00 ,195422.00 ,202944.00 
2011-09-19,16700.00 ,16700.00 ,16205.00 ,16210.00 ,190772.00 ,194272.00 
2011-09-20,16280.00 ,16350.00 ,16175.00 ,16285.00 ,124662.00 ,173160.00 
2011-09-21,16280.00 ,16495.00 ,16075.00 ,16455.00 ,385630.00 ,188496.00 
2011-09-22,16090.00 ,16130.00 ,15400.00 ,15855.00 ,397524.00 ,210332.00 
2011-09-23,15450.00 ,15555.00 ,14980.00 ,15055.00 ,590264.00 ,214696.00 
2011-09-26,14965.00 ,15190.00 ,14340.00 ,14340.00 ,587122.00 ,230142.00 
2011-09-27,14925.00 ,15225.00 ,14660.00 ,14975.00 ,544936.00 ,216132.00 
2011-09-28,15105.00 ,15150.00 ,14680.00 ,15005.00 ,548658.00 ,214656.00 
2011-09-29,14130.00 ,14700.00 ,14130.00 ,14685.00 ,525820.00 ,197216.00 
2011-09-30,14790.00 ,15410.00 ,14695.00 ,15400.00 ,400770.00 ,194430.00 
2011-10-10,15170.00 ,15365.00 ,15030.00 ,15110.00 ,293746.00 ,201016.00 
2011-10-11,15395.00 ,15415.00 ,15070.00 ,15135.00 ,314892.00 ,215372.00 
2011-10-12,15020.00 ,15255.00 ,14860.00 ,15205.00 ,398854.00 ,211770.00 
2011-10-13,15155.00 ,15280.00 ,15085.00 ,15160.00 ,252026.00 ,200876.00 
2011-10-14,15080.00 ,15370.00 ,15075.00 ,15295.00 ,246792.00 ,186592.00 
2011-10-17,15290.00 ,15415.00 ,15215.00 ,15260.00 ,192852.00 ,181938.00 
2011-10-18,15080.00 ,15100.00 ,14430.00 ,14515.00 ,373154.00 ,183340.00 
2011-10-19,14725.00 ,14800.00 ,14485.00 ,14590.00 ,265568.00 ,183778.00 
2011-10-20,14200.00 ,14245.00 ,13780.00 ,13850.00 ,622742.00 ,234748.00 
2011-10-21,14120.00 ,14395.00 ,13950.00 ,14300.00 ,575068.00 ,219884.00 
2011-10-24,14520.00 ,15065.00 ,14385.00 ,15040.00 ,538346.00 ,217626.00 
2011-10-25,15140.00 ,15500.00 ,14825.00 ,15035.00 ,958338.00 ,219600.00 
2011-10-26,14750.00 ,15175.00 ,14735.00 ,14945.00 ,583648.00 ,225084.00 
2011-10-27,15020.00 ,15190.00 ,14995.00 ,15145.00 ,417834.00 ,226804.00 
2011-10-28,15600.00 ,15780.00 ,15325.00 ,15420.00 ,527006.00 ,222562.00 
2011-10-31,15475.00 ,15680.00 ,15135.00 ,15335.00 ,626848.00 ,232058.00 
2011-11-01,15435.00 ,15545.00 ,15290.00 ,15305.00 ,499646.00 ,227930.00 
2011-11-02,15015.00 ,15330.00 ,14985.00 ,15325.00 ,413060.00 ,221008.00 
2011-11-03,15240.00 ,15310.00 ,15010.00 ,15045.00 ,324364.00 ,216368.00 
2011-11-04,15305.00 ,15565.00 ,15300.00 ,15550.00 ,357116.00 ,206364.00 
2011-11-07,15480.00 ,15490.00 ,15265.00 ,15345.00 ,236860.00 ,199890.00 
2011-11-08,15420.00 ,15460.00 ,15250.00 ,15325.00 ,243090.00 ,196200.00 
2011-11-09,15500.00 ,15540.00 ,15370.00 ,15455.00 ,252862.00 ,191386.00 
2011-11-10,15085.00 ,15090.00 ,14510.00 ,14510.00 ,548888.00 ,238056.00 
2011-11-11,14680.00 ,14820.00 ,14630.00 ,14760.00 ,273660.00 ,199940.00 
2011-11-14,15045.00 ,15590.00 ,15030.00 ,15430.00 ,344610.00 ,185264.00 
2011-11-15,15285.00 ,15375.00 ,15200.00 ,15305.00 ,173730.00 ,171054.00 
2011-11-16,15280.00 ,15430.00 ,15020.00 ,15125.00 ,197476.00 ,158580.00 
2011-11-17,15285.00 ,15360.00 ,15050.00 ,15245.00 ,174530.00 ,142414.00 
2011-11-18,14750.00 ,15070.00 ,14670.00 ,15040.00 ,205580.00 ,156606.00 
2011-11-21,15095.00 ,15200.00 ,15035.00 ,15155.00 ,241634.00 ,176058.00 
2011-11-22,15000.00 ,15235.00 ,14980.00 ,15170.00 ,269248.00 ,178318.00 
2011-11-23,15205.00 ,15290.00 ,15065.00 ,15065.00 ,238198.00 ,186852.00 
2011-11-24,15050.00 ,15145.00 ,14665.00 ,15025.00 ,487034.00 ,193284.00 
2011-11-25,14870.00 ,14965.00 ,14770.00 ,14835.00 ,247562.00 ,203540.00 
2011-11-28,15140.00 ,15250.00 ,15070.00 ,15170.00 ,252174.00 ,194320.00 
2011-11-29,15200.00 ,15310.00 ,15135.00 ,15245.00 ,255942.00 ,190240.00 
2011-11-30,15300.00 ,15325.00 ,15060.00 ,15115.00 ,225702.00 ,185342.00 
2011-12-01,16080.00 ,16080.00 ,15710.00 ,15800.00 ,318108.00 ,179470.00 
2011-12-02,15795.00 ,15800.00 ,15685.00 ,15795.00 ,158318.00 ,168332.00 
2011-12-05,15855.00 ,15950.00 ,15650.00 ,15715.00 ,222364.00 ,172566.00 
2011-12-06,15565.00 ,15695.00 ,15545.00 ,15670.00 ,181232.00 ,164136.00 
2011-12-07,15765.00 ,15850.00 ,15660.00 ,15815.00 ,158164.00 ,156756.00 
2011-12-08,15730.00 ,15890.00 ,15640.00 ,15775.00 ,179630.00 ,149876.00 
2011-12-09,15535.00 ,15685.00 ,15530.00 ,15650.00 ,162966.00 ,149424.00 
2011-12-12,15730.00 ,15755.00 ,15505.00 ,15575.00 ,159190.00 ,144640.00 
2011-12-13,15370.00 ,15440.00 ,15340.00 ,15355.00 ,119228.00 ,142334.00 
2011-12-14,15210.00 ,15245.00 ,14965.00 ,14980.00 ,195216.00 ,152550.00 
2011-12-15,14520.00 ,14915.00 ,14520.00 ,14715.00 ,279086.00 ,167246.00 
2011-12-16,14780.00 ,14960.00 ,14750.00 ,14950.00 ,161432.00 ,178564.00 
2011-12-19,14860.00 ,14895.00 ,14650.00 ,14785.00 ,295836.00 ,190276.00 
2011-12-20,14800.00 ,14845.00 ,14700.00 ,14780.00 ,179620.00 ,193498.00 
2011-12-21,14940.00 ,14990.00 ,14855.00 ,14900.00 ,167622.00 ,189428.00 
2011-12-22,14845.00 ,14900.00 ,14730.00 ,14865.00 ,213354.00 ,197048.00 
